商品名称,物品编号,物品名称,单耗,单位
蜜汁手扒半鸡,DR02001,起酥油,10.0,g
蜜汁手扒半鸡,SE01001,腌泡粉,10.0,g
蜜汁手扒半鸡,PA99023,手套,1.0,pc
蜜汁手扒半鸡,SA01008,甜辣酱（大包）,10.0,g
蜜汁手扒半鸡,PA99007,铝箔全鸡袋,1.0,pc
蜜汁手扒半鸡,PA99021,腌制袋,1.0,pc
蜜汁手扒半鸡,CK01001,整鸡,0.5,pc
蜜汁手扒半鸡,SE05001,BBQ酱,15.0,g
蜜汁手扒半鸡,PA99016,托盘纸,1.0,pc
蜜汁手扒半鸡,SA01009,番茄酱（大包）,10.0,g
秘制烤鸡腿堡,SA02001,沙拉酱,15.0,g
秘制烤鸡腿堡,PA99025,一次性餐包,1.0,pc
秘制烤鸡腿堡,PA99034,食安封签,1.0,pc
秘制烤鸡腿堡,DR01001,汉堡面包,1.0,pc
秘制烤鸡腿堡,PA99017,五合一汉堡纸,1.0,pc
秘制烤鸡腿堡,DR02001,起酥油,10.0,g
秘制烤鸡腿堡,FR01001,无骨方腿腿肉汉堡用,1.0,pc
秘制烤鸡腿堡,SA01013,番茄酱（小包）,1.0,pc
秘制烤鸡腿堡,MK01019,生菜,15.0,g
秘制烤鸡腿堡,SE05001,BBQ酱,15.0,g
秘制烤鸡腿堡,PA99023,手套,1.0,pc
秘制烤鸡腿堡,PA99016,托盘纸,1.0,pc
秘制烤鸡腿堡,SA01009,番茄酱（大包）,10.0,g
秘制烤鸡腿堡,SE05002,辣味粉,10.0,g
炸鸡桶,SE05002,辣味粉,10.0,g
炸鸡桶,DR02001,起酥油,10.0,g
炸鸡桶,PA99023,手套,1.0,pc
炸鸡桶,PA99004,65oz 桶(含盖),1.0,pc
炸鸡桶,FR01004,翅根,8.0,pc
炸鸡桶,DR02002,炸鸡炸粉,10.0,g
炸鸡桶,PA99016,托盘纸,1.0,pc
烤肠,PA99003,鸡米花盒,1.0,pc
烤肠,DR02001,起酥油,10.0,g
烤肠,CK01003,肉好多烤肠（鸡肉）,8.0,pc
烤肠,SA01008,甜辣酱（大包）,10.0,g
烤肠,PA99016,托盘纸,1.0,pc
烤肠,SA01009,番茄酱（大包）,10.0,g
炸手枪腿饭,MK01020,黄瓜片,20.0,g
炸手枪腿饭,PA01006,酱料盒（堂食）,1.0,pc
炸手枪腿饭,PA99006,中薯盒,1.0,pc
炸手枪腿饭,PA02001,塑料叉勺 100pcs*20pack,1.0,pc
炸手枪腿饭,FR02001,薯条细款7mm,150.0,g
炸手枪腿饭,DR02001,起酥油,10.0,g
炸手枪腿饭,PA99001,16A 冷杯,1.0,pc
炸手枪腿饭,PA99023,手套,1.0,pc
炸手枪腿饭,SE04001,调味粉,10.0,g
炸手枪腿饭,BE01004,百事可乐原味,25.0,g
炸手枪腿饭,SA01008,甜辣酱（大包）,10.0,g
炸手枪腿饭,DR01002,香米,150.0,g
炸手枪腿饭,MK01016,香辣蘸料,40.0,g
炸手枪腿饭,DR02002,炸鸡炸粉,10.0,g
炸手枪腿饭,PA01002,塑料碗盒（方盒）,1.0,pc
炸手枪腿饭,PA99024,PLA尖头吸管,1.0,pc
炸手枪腿饭,PA99027,哑光塑料封口膜,1.0,pc
炸手枪腿饭,FR01002,手枪腿,1.0,pc
炸手枪腿饭,PA99016,托盘纸,1.0,pc
炸手枪腿饭,SA01009,番茄酱（大包）,10.0,g
脆皮手枪腿,PA99017,五合一汉堡纸,1.0,pc
脆皮手枪腿,DR02001,起酥油,10.0,g
脆皮手枪腿,SE01001,腌泡粉,10.0,g
脆皮手枪腿,DR02002,炸鸡炸粉,10.0,g
脆皮手枪腿,SA01008,甜辣酱（大包）,10.0,g
脆皮手枪腿,SA01009,番茄酱（大包）,10.0,g
脆皮手枪腿,FR01002,手枪腿,1.0,pc
脆皮手枪腿,PA99016,托盘纸,1.0,pc
脆皮手枪腿,PA99013,小纸袋,1.0,pc
脆皮手枪腿,PA99023,手套,1.0,pc
脆皮手枪腿,SE05002,辣味粉,10.0,g
烤手枪腿,PA99017,五合一汉堡纸,1.0,pc
烤手枪腿,DR02001,起酥油,10.0,g
烤手枪腿,SE01001,腌泡粉,10.0,g
烤手枪腿,PA99007,铝箔全鸡袋,1.0,pc
烤手枪腿,SA01008,甜辣酱（大包）,10.0,g
烤手枪腿,SA01009,番茄酱（大包）,10.0,g
烤手枪腿,SE05001,BBQ酱,15.0,g
烤手枪腿,FR01002,手枪腿,1.0,pc
烤手枪腿,PA99016,托盘纸,1.0,pc
烤手枪腿,PA99023,手套,1.0,pc
烤手枪腿,SE05002,辣味粉,10.0,g
烤鸡翅,FR01005,翅中,1.0,pc
烤鸡翅,SE05002,辣味粉,10.0,g
烤鸡翅,DR02001,起酥油,10.0,g
烤鸡翅,PA99013,小纸袋,1.0,pc
烤鸡翅,SE05001,BBQ酱,10.0,g
烤鸡翅,PA99008,4#全鸡袋,1.0,pc
烤鸡翅,PA99025,一次性餐包,1.0,pc
烤鸡翅,PA99023,手套,1.0,pc
烤鸡翅,FR01004,翅根,1.0,pc
烤鸡翅,PA99018,打包袋 (小号),1.0,pc
烤鸡翅,PA99010,铝箔烤翅袋,1.0,pc
烤鸡翅,PA99016,托盘纸,1.0,pc
烤鸡桶,SE05002,辣味粉,10.0,g
烤鸡桶,DR02001,起酥油,10.0,g
