物品编号,物品名称,物料单价,单位
PA99001,16A 冷杯,0.6733,pc
BE01004,百事可乐原味,0.242,g
PA99024,PLA尖头吸管,0.2,pc
PA99017,五合一汉堡纸,0.2327,pc
DR02001,起酥油,0.05,g
SE01001,腌泡粉,0.11,g
PA99023,手套,0.0786,pc
DR02002,炸鸡炸粉,0.02,g
SA01008,辣椒酱（大包）,0.03,g
SA01009,番茄酱（大包）,0.02,g
FR01006,整鸡,68.25,pc
PA99016,托盘纸,0.2382,pc
PA99007,铝箔全鸡袋,1.1399,pc
SE05001,BBQ酱,0.1,g
SA01001,甜辣酱（大包）,0.3152,g
CK01001,整鸡,68.25,pc
SA01002,番茄酱（大包）,0.3651,g
PA99021,腌制袋,0.1809,pc
SA02001,沙拉酱,0.06,g
SE05002,辣味粉,0.15,g
FR01001,无骨方腿腿肉汉堡用,16.8,pc
MK01019,生菜,0.062,g
PA99019,打包袋 (大号),0.71,pc
PA99025,一次性餐包,0.6192,pc
PA99034,食安封签,0.0783,pc
SA01013,番茄酱（小包）,0.4,pc
FR01005,翅中,4.26,pc
PA99018,打包袋 (小号),0.3332,pc
SA01010,辣椒酱（小包）,0.45,pc
PA99013,小纸袋,0.2619,pc
DR01001,汉堡面包,4.9,pc
FR01004,翅根,5.41,pc
PA99027,哑光塑料封口膜,0.0861,pc
PA99006,中薯盒,0.576,pc
FR02001,薯条细款7mm,0.04,g
DR06002,盐,0.0157,g
FR01002,手枪腿,16.36,pc
PA99020,单杯袋,0.1857,pc
FR03001,8寸面饼,6.51,pc
SA01003,甜辣酱（小包）,0.7591,pc
PA99012,小号方底袋,0.9947,pc
SA01004,番茄酱 （小包）,0.7591,pc
CK01002,鸡块,2.65,pc
PA99008,4#全鸡袋,0.576,pc
FR01003,鸡腿,7.62,pc
CK02004,肉丁（原味米花）,1.28,pc
PA99003,鸡米花盒,0.6128,pc
MK01020,黄瓜片,0.0399,g
PA01006,酱料盒（堂食）,0.13,pc
PA02001,塑料叉勺 100pcs*20pack,0.7,pc
DR01002,香米,0.0208,g
MK01016,香辣蘸料,0.1,g
PA01002,塑料碗盒（方盒）,3.66,pc
CK02003,鸡棒,2.03,pc
PA99004,65oz 桶(含盖),2.9307,pc
PA99026,木勺,0.28,pc
PA01007,玉米杯,1,pc
MK01003,玉米粒,0.07,g
PA01008,玉米杯盖,0.29,pc
FR05001,十块鸡,9.26,pc
CK01003,肉好多烤肠（鸡肉）,0.81,pc
PA99005,外卖筒形薯盒,0.7331,pc
PA99015,500PP杯（U型）,0.97,pc
BE02003,酸芒果味粉,0.25,g
PA99014,大薯袋,0.1362,pc
PA99036,小餐盒,3.4182,pc
DR05001,炸洋葱,0.24,g
PA99009,8号方底袋,0.6495,pc
BE02005,荔枝味粉,0.2375,g
BE02004,柠檬冬瓜味粉,0.2375,g
-,-,,-
BE01002,百事七喜,0.1297,g
SE04001,调味粉,0,g
PA99010,铝箔烤翅袋,0.3126,pc
PA01003,冰淇凌杯,1.16,pc
PA01004,冰淇凌杯盖,0.33,pc
DE03001,冰淇淋预伴粉巧克力,0.22,g
MK01002,巧克力酱（圣代用）,0.0403,g
BE01003,百事立顿红茶,0.1611,g
DE01001,蛋筒冰淇淋,2.13,pc
DE03002,冰淇淋预伴粉香草,0.22,g
SP01001,冰淇淋紙套,0.735,pc
BE01006,纯净水,4.9058,pc
PA03002,500ml咖啡杯盖_,0.52,pc
MK01001,糖浆,0.0528,g
BE05001,咖啡豆（小）,0.1521,g
PA03001,500ml咖啡杯_,1.4,pc
DE02001,草莓果酱,0.09,g
BE02002,橙C粉,0.26,g
BE02001,泰式奶茶粉,0.34,g
BE01001,百事零度,0.1529,g
PA01001,米饭打包碗（圆形）,2.2897,pc
DE01008,,2.13,pc
FR01016,Chicken Cheese–Su Ball,3.28,pc
DR04001,Jasmine Rice,0.02,g
MK01017,Chicken Sauce,0.06,g
PA01005,Chicken Sauce Cup,0.32,pc
FR01007,鸡柳,4.55,pc
VE00002,Lettuce,0.06,g
DE01006,抹茶冰激凌粉,0.22,g
DE01011,辣番茄粉,0,g
PA99035,Boat tray,1.81,pc
