商品名称,物品编号,物品名称,单耗,单位
119元的两块鸡肉汉堡,DR02001,J起酥油,20.0,g
119元的两块鸡肉汉堡,DR02002,炸鸡炸粉,60.0,g
119元的两块鸡肉汉堡,FR01001,无骨方腿腿肉汉堡用,2.0,pc
119元的两块鸡肉汉堡,GE99003,餐巾纸,2.0,pc
119元的两块鸡肉汉堡,PA99017,五合一汉堡纸,2.0,pc
119元的两块鸡肉汉堡,SA02001,沙拉酱,30.0,g
119元的两块鸡肉汉堡,SE01001,腌泡粉,6.0,g
119元的两块鸡肉汉堡,DR06001,"汉堡面包尺寸 4""",2.0,pc
119元的两块鸡肉汉堡,VE00004,生菜,30.0,g
119元的两块鸡肉汉堡,SE05001,BBQ酱,20.0,g
119元的两块鸡肉汉堡,SE05002,辣味粉,6.0,g
16、20、27号抹茶冰淇淋店,DE01006,抹茶冰激凌粉,30.0,g
16、20、27号抹茶冰淇淋店,PA01003,冰淇凌杯,1.0,pc
1块脆皮鸡,DR02001,起酥油,10.0,g
1块脆皮鸡,SE01001,腌泡粉,10.0,g
1块脆皮鸡,PA99023,手套,1.0,pc
1块脆皮鸡,FR05001,十块鸡,1.0,pc
1块脆皮鸡,DR02002,炸鸡炸粉,10.0,g
1块脆皮鸡,SA01008,甜辣酱（大包）,10.0,g
1块脆皮鸡,SA01009,番茄酱（大包）,10.0,g
1块脆皮鸡,PA99016,托盘纸,1.0,pc
1块脆皮鸡,BE01004,百事可乐原味,25.0,g
2块脆皮鸡套餐,PA99001,16A 冷杯,1.0,pc
2块脆皮鸡套餐,BE01004,百事可乐原味,75.0,g
2块脆皮鸡套餐,PA99024,PLA尖头吸管,1.0,pc
2块脆皮鸡套餐,PA99027,哑光塑料封口膜,1.0,pc
2块脆皮鸡套餐,PA99006,中薯盒,1.0,pc
2块脆皮鸡套餐,FR02001,薯条细款7mm,150.0,g
2块脆皮鸡套餐,DR02001,起酥油,30.0,g
2块脆皮鸡套餐,SA01008,甜辣酱（大包）,30.0,g
2块脆皮鸡套餐,SA01009,番茄酱（大包）,30.0,g
2块脆皮鸡套餐,DR06002,盐,1.0,g
2块脆皮鸡套餐,PA99018,打包袋 (小号),1.0,pc
2块脆皮鸡套餐,SA01013,番茄酱（小包）,1.0,pc
2块脆皮鸡套餐,SA01010,辣椒酱（小包）,1.0,pc
2块脆皮鸡套餐,PA99005,外卖筒形薯盒,1.0,pc
2块脆皮鸡套餐,PA99016,托盘纸,1.0,pc
2块脆皮鸡套餐,SE01001,腌泡粉,20.0,g
2块脆皮鸡套餐,PA99023,手套,2.0,pc
2块脆皮鸡套餐,FR05001,十块鸡,2.0,pc
2块脆皮鸡套餐,DR02002,炸鸡炸粉,20.0,g
5块脆皮鸡桶,FR05001,十块鸡,5.0,pc
5块脆皮鸡桶,DR02001,起酥油,10.0,g
5块脆皮鸡桶,DR02002,炸鸡炸粉,10.0,g
5块脆皮鸡桶,SE01001,腌泡粉,10.0,g
5块脆皮鸡桶,PA99016,托盘纸,1.0,pc
5块脆皮鸡桶,PA99023,手套,1.0,pc
5块脆皮鸡桶,SA01009,番茄酱（大包）,10.0,g
5块脆皮鸡桶,SA01008,甜辣酱（大包）,10.0,g
5块脆皮鸡桶套餐,BE02002,橙C粉,12.0,g
5块脆皮鸡桶套餐,PA99001,16A 冷杯,2.0,pc
5块脆皮鸡桶套餐,PA99024,PLA尖头吸管,2.0,pc
5块脆皮鸡桶套餐,BE01001,百事零度,1.0,g
5块脆皮鸡桶套餐,PA99020,单杯袋,1.0,pc
5块脆皮鸡桶套餐,PA99027,哑光塑料封口膜,1.0,pc
5块脆皮鸡桶套餐,FR05001,十块鸡,5.0,pc
5块脆皮鸡桶套餐,DR02001,起酥油,20.0,g
5块脆皮鸡桶套餐,DR02002,炸鸡炸粉,10.0,g
5块脆皮鸡桶套餐,SE01001,腌泡粉,10.0,g
5块脆皮鸡桶套餐,PA99016,托盘纸,2.0,pc
5块脆皮鸡桶套餐,PA99023,手套,1.0,pc
5块脆皮鸡桶套餐,SA01009,番茄酱（大包）,20.0,g
5块脆皮鸡桶套餐,SA01008,甜辣酱（大包）,20.0,g
5块脆皮鸡桶套餐,PA99006,中薯盒,1.0,pc
5块脆皮鸡桶套餐,FR02001,薯条细款7mm,150.0,g
5块脆皮鸡桶套餐,DR06002,盐,1.0,g
5块脆皮鸡桶套餐,PA99018,打包袋 (小号),1.0,pc
5块脆皮鸡桶套餐,SA01013,番茄酱（小包）,1.0,pc
5块脆皮鸡桶套餐,SA01010,辣椒酱（小包）,1.0,pc
5块脆皮鸡桶套餐,PA99005,外卖筒形薯盒,1.0,pc
5块脆皮鸡桶套餐,BE01004,百事可乐原味,25.0,g
5块脆皮鸡桶套餐,BE01003,百事立顿红茶,1.0,g
5块脆皮鸡桶套餐,BE02005,荔枝味粉,14.0,g
5块脆皮鸡桶套餐,BE02001,泰式奶茶粉,12.0,g
5块脆皮鸡桶套餐,PA99015,500PP杯（U型）,1.0,pc
5块脆皮鸡桶套餐,BE01002,百事七喜,1.0,g
5块鸡原味套餐 MCK,FR05001,十块鸡,5.0,pc
5块鸡套餐MCK,FR05001,十块鸡,5.0,pc
Snack Set 1,PA99001,16A 冷杯,1.0,pc
Snack Set 1,BE01004,百事可乐原味,25.0,g
Snack Set 1,PA99024,PLA尖头吸管,1.0,pc
Snack Set 1,PA99027,哑光塑料封口膜,1.0,pc
Snack Set 1,PA99008,4#全鸡袋,1.0,pc
Snack Set 1,PA99025,一次性餐包,1.0,pc
Snack Set 1,CK01002,鸡块,5.0,pc
Snack Set 1,PA99014,大薯袋,1.0,pc
Snack Set 1,SA01003,甜辣酱（小包）,1.0,pc
Snack Set 1,DR02001,起酥油,25.0,g
Snack Set 1,PA99012,小号方底袋,1.0,pc
Snack Set 1,PA99018,打包袋 (小号),1.0,pc
Snack Set 1,SA01004,番茄酱 （小包）,1.0,pc
Snack Set 1,PA99023,手套,1.0,pc
Snack Set 1,CK02004,肉丁（原味米花）,12.0,pc
Snack Set 1,PA99003,鸡米花盒,1.0,pc
Snack Set 1,PA99016,托盘纸,1.0,pc
Snack Set 1,SA01008,辣椒酱（大包）,30.0,g
Snack Set 1,SA01009,番茄酱（大包）,30.0,g
[促销] 活动] 返校促销套餐 3,BE01001,百事零度,1.0,g
[促销] 活动] 返校促销套餐 3,PA99001,16A 冷杯,1.0,pc
[促销] 活动] 返校促销套餐 3,PA99024,PLA尖头吸管,1.0,pc
