商品,类型,物料名称,物料编码,消耗数量,单位,物料单价,行成本,适用渠道,ERPNext新单价,基价(两位),适用税率%,ERP_UOM,基价(原始)
烤玉米 买1送1!,single,玉米粒,MK01003,240.0,g,0.0716625,17.199,通用,0.0716625,0.07,0.0,g,0.06825
烤玉米 买1送1!,single,玉米杯,PA01007,2.0,pc,0.9971624250000001,1.9943248500000001,通用,0.9971624250000001,0.89,7.0,pc,0.88755
烤玉米 买1送1!,single,玉米杯盖,PA01008,2.0,pc,0.230996094,0.461992188,通用,0.230996094,0.21,7.0,pc,0.205604
烤玉米 买1送1!,single,塑料叉勺 100pcs*20pack,PA02001,2.0,pc,0.69657,1.39314,通用,0.69657,0.62,7.0,pc,0.62
119元的两块鸡肉汉堡,combo,J起酥油,DR02001,20.0,g,0.04954635,0.9909270000000001,通用,0.04954635,0.04,7.0,g,0.0441
119元的两块鸡肉汉堡,combo,五合一汉堡纸,PA99017,2.0,pc,0.24717,0.49434,通用,0.24717,0.22,7.0,pc,0.22
119元的两块鸡肉汉堡,combo,炸鸡炸粉,DR02002,60.0,g,0.0183504996255,1.1010299775299999,通用,0.0183504996255,0.02,7.0,g,0.016333333
119元的两块鸡肉汉堡,combo,无骨方腿腿肉汉堡用,FR01001,2.0,pc,18.9,37.8,通用,18.9,18.0,0.0,pc,18.0
119元的两块鸡肉汉堡,combo,汉堡面包,DR01001,2.0,pc,5.246745000000001,10.493490000000001,通用,5.246745000000001,4.67,7.0,pc,4.67
119元的两块鸡肉汉堡,combo,腌泡粉,SE01001,6.0,g,0.101115,0.60669,通用,0.101115,0.09,7.0,g,0.09
119元的两块鸡肉汉堡,combo,沙拉酱,SA02001,30.0,g,0.06741,2.0223,通用,0.06741,0.06,7.0,g,0.06
119元的两块鸡肉汉堡,combo,生菜,VE00004,30.0,g,0.08715,2.6145,通用,0.08715,0.08,0.0,g,0.083
119元的两块鸡肉汉堡,combo,餐巾纸,GE99003,2.0,pc,0.0894914566245,0.178982913249,通用,0.0894914566245,0.08,7.0,pc,0.079654167
119泰铢两个汉堡,single,J起酥油,DR02001,20.0,g,0.04954635,0.9909270000000001,通用,0.04954635,0.04,7.0,g,0.0441
119泰铢两个汉堡,single,五合一汉堡纸,PA99017,2.0,pc,0.24717,0.49434,通用,0.24717,0.22,7.0,pc,0.22
119泰铢两个汉堡,single,炸鸡炸粉,DR02002,60.0,g,0.0183504996255,1.1010299775299999,通用,0.0183504996255,0.02,7.0,g,0.016333333
119泰铢两个汉堡,single,无骨方腿腿肉汉堡用,FR01001,2.0,pc,18.9,37.8,通用,18.9,18.0,0.0,pc,18.0
119泰铢两个汉堡,single,汉堡面包,DR01001,2.0,pc,5.246745000000001,10.493490000000001,通用,5.246745000000001,4.67,7.0,pc,4.67
119泰铢两个汉堡,single,腌泡粉,SE01001,6.0,g,0.101115,0.60669,通用,0.101115,0.09,7.0,g,0.09
119泰铢两个汉堡,single,沙拉酱,SA02001,30.0,g,0.06741,2.0223,通用,0.06741,0.06,7.0,g,0.06
119泰铢两个汉堡,single,生菜,VE00004,30.0,g,0.08715,2.6145,通用,0.08715,0.08,0.0,g,0.083
119泰铢两个汉堡,single,餐巾纸,GE99003,2.0,pc,0.0894914566245,0.178982913249,通用,0.0894914566245,0.08,7.0,pc,0.079654167
16、20、27号抹茶冰淇淋店,combo,抹茶冰激凌粉,DE01006,30.0,g,0.213465,6.40395,通用,0.213465,0.19,7.0,g,0.19
16、20、27号抹茶冰淇淋店,combo,冰淇凌杯,PA01003,1.0,pc,1.157205,1.157205,通用,1.157205,1.03,7.0,pc,1.03
1个翅膀（用于套装中）,single,翅中,FR01005,1.0,pc,4.61311515,4.61311515,通用,4.61311515,4.39,0.0,pc,4.393443
1块脆皮鸡,combo,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
1块脆皮鸡,combo,腌泡粉,SE01001,10.0,g,0.101115,1.01115,通用,0.101115,0.09,7.0,g,0.09
1块脆皮鸡,combo,手套,PA99023,1.0,pc,0.07864500000000002,0.07864500000000002,外卖,0.07864500000000002,0.07,7.0,pc,0.07
1块脆皮鸡,combo,十块鸡,FR05001,1.0,pc,8.61,8.61,通用,8.61,8.2,0.0,pc,8.2
1块脆皮鸡,combo,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
1块脆皮鸡,combo,甜辣酱（大包）,SA01008,10.0,g,0.02247,0.2247,堂食,0.02247,0.02,7.0,g,0.02
1块脆皮鸡,combo,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
1块脆皮鸡,combo,托盘纸,PA99016,1.0,pc,0.24717,0.24717,外卖,0.24717,0.22,7.0,pc,0.22
